date,approval_date,increase_amount,label
7/14/2018,42.03181,-0.0326200000000014,-1
7/13/2018,42.06443,-0.225259999999999,-2
7/12/2018,42.28969,0.326799999999999,2
7/11/2018,41.96289,0.0942800000000048,1
7/10/2018,41.86861,-0.269560000000006,-2
7/9/2018,42.13817,-0.0648599999999959,-1
7/8/2018,42.20303,-0.0403599999999997,-1
7/7/2018,42.24339,0,0
7/6/2018,42.24339,0.385190000000002,2
7/5/2018,41.8582,0.0214299999999952,1
7/4/2018,41.83677,0,0
7/3/2018,41.83677,-0.166190000000000,-1
7/2/2018,42.00296,0.204950000000004,2
7/1/2018,41.79801,0.0418699999999959,1
6/30/2018,41.75614,0,0
6/29/2018,41.75614,-0.135339999999999,-1
6/28/2018,41.89148,0.0127600000000001,1
6/27/2018,41.87872,-0.313829999999996,-2
6/26/2018,42.19255,-0.102530000000002,-1
6/25/2018,42.29508,-0.202469999999998,-2
6/24/2018,42.49755,0.126629999999999,1
6/23/2018,42.37092,0,0
6/22/2018,42.37092,-0.194389999999999,-1
6/21/2018,42.56531,0.0536299999999983,1
6/20/2018,42.51168,0.210259999999998,2
6/19/2018,42.30142,0.0656400000000019,1
6/18/2018,42.23578,0.141179999999999,1
6/17/2018,42.0946,0,0
6/16/2018,42.0946,0,0
6/15/2018,42.0946,0.297150000000002,2
6/14/2018,41.79745,0.366799999999998,2
6/13/2018,41.43065,-0.133620000000001,-1
6/12/2018,41.56427,0.0619599999999991,1
6/11/2018,41.50231,-0.126529999999995,-1
6/10/2018,41.62884,0,0
6/9/2018,41.62884,-0.147500000000001,-1
6/8/2018,41.77634,-0.0901899999999998,-1
6/7/2018,41.86653,0.552369999999996,2
6/6/2018,41.31416,-0.100719999999995,-1
6/5/2018,41.41488,-0.193060000000003,-1
6/4/2018,41.60794,-0.00124000000000279,-1
6/3/2018,41.60918,0,0
6/2/2018,41.60918,-0.00712999999999653,-1
6/1/2018,41.61631,-0.0298500000000033,-1
5/31/2018,41.64616,-0.653390000000002,-2
5/30/2018,42.29955,-0.102159999999998,-1
5/29/2018,42.40171,-0.185649999999995,-1
5/28/2018,42.58736,-0.113020000000006,-1
5/27/2018,42.70038,0,0
5/26/2018,42.70038,0.442320000000002,2
5/25/2018,42.25806,0.0316299999999998,1
5/24/2018,42.22643,0.0677000000000021,1
5/23/2018,42.15873,-0.0930700000000044,-1
5/22/2018,42.2518,0.234420000000000,2
5/21/2018,42.01738,-0.364529999999995,-2
5/20/2018,42.38191,0,0
5/19/2018,42.38191,0,0
5/18/2018,42.38191,0.119319999999995,1
5/17/2018,42.26259,0.114580000000004,1
5/16/2018,42.14801,-0.181829999999998,-1
5/15/2018,42.32984,0.229929999999996,2
5/14/2018,42.09991,-0.0231700000000004,-1
5/13/2018,42.12308,0,0
5/12/2018,42.12308,0.0974199999999996,1
5/11/2018,42.02566,0.0599500000000006,1
5/10/2018,41.96571,0.0920100000000019,1
5/9/2018,41.8737,-0.0338899999999995,-1
5/8/2018,41.90759,-0.109670000000001,-1
5/7/2018,42.01726,-0.0724400000000003,-1
5/6/2018,42.0897,0,0
5/5/2018,42.0897,0.672570000000000,2
5/4/2018,41.41713,0.0987399999999994,1
5/3/2018,41.31839,0.166670000000003,1
5/2/2018,41.15172,-0.0614000000000061,-1
5/1/2018,41.21312,0.571660000000001,2
4/30/2018,40.64146,0.268930000000005,2
4/29/2018,40.37253,0,0
4/28/2018,40.37253,-0.226140000000001,-2
4/27/2018,40.59867,0.00697999999999865,1
4/26/2018,40.59169,0.0754999999999981,1
4/25/2018,40.51619,0.172440000000002,1
4/24/2018,40.34375,0.183560000000000,1
4/23/2018,40.16019,-0.121780000000001,-1
4/22/2018,40.28197,0,0
4/21/2018,40.28197,0,0
4/20/2018,40.28197,0.0688000000000031,1
4/19/2018,40.21317,0.0519199999999955,1
4/18/2018,40.16125,-0.431680000000000,-2
4/17/2018,40.59293,-0.115829999999995,-1
4/16/2018,40.70876,0.112890000000000,1
4/15/2018,40.59587,-0.178280000000001,-1
4/14/2018,40.77415,0,0
4/13/2018,40.77415,0.143319999999996,1
4/12/2018,40.63083,0.0211300000000065,1
4/11/2018,40.6097,0.00353999999999388,1
4/10/2018,40.60616,0.368100000000005,2
4/9/2018,40.23806,0.269389999999994,2
4/8/2018,39.96867,0,0
4/7/2018,39.96867,0,0
4/6/2018,39.96867,-0.254089999999998,-2
4/5/2018,40.22276,-0.0790700000000015,-1
4/4/2018,40.30183,-0.0925200000000004,-1
4/3/2018,40.39435,-0.235129999999998,-2
4/2/2018,40.62948,0.0862600000000029,1
4/1/2018,40.54322,0,0
3/31/2018,40.54322,0,0
3/30/2018,40.54322,0.326529999999998,2
3/29/2018,40.21669,0.0255799999999979,1
3/28/2018,40.19111,-0.275269999999999,-2
3/27/2018,40.46638,-0.628659999999996,-2
3/26/2018,41.09504,0.353669999999994,2
3/25/2018,40.74137,0.325030000000005,2
3/24/2018,40.41634,-0.258870000000002,-2
3/23/2018,40.67521,0.0397000000000034,1
3/22/2018,40.63551,0.0477899999999991,1
3/21/2018,40.58772,-0.143530000000006,-1
3/20/2018,40.73125,-0.00869999999999749,-1
3/19/2018,40.73995,0.224150000000002,2
3/18/2018,40.5158,0.273959999999995,2
3/17/2018,40.24184,0,0
3/16/2018,40.24184,-0.221119999999999,-2
3/15/2018,40.46296,0.0385899999999992,1
3/14/2018,40.42437,-0.103939999999994,-1
3/13/2018,40.52831,-0.130380000000002,-1
3/12/2018,40.65869,-0.0209899999999976,-1
3/11/2018,40.67968,0,0
3/10/2018,40.67968,0,0
3/9/2018,40.67968,0.0508499999999970,1
3/8/2018,40.62883,0.411430000000003,2
3/7/2018,40.2174,-0.254940000000005,-2
3/6/2018,40.47234,0.0849300000000000,1
3/5/2018,40.38741,-0.0308700000000002,-1
3/4/2018,40.41828,0,0
3/3/2018,40.41828,0,0
3/2/2018,40.41828,-0.177979999999998,-1
3/1/2018,40.59626,0.563980000000001,2
2/28/2018,40.03228,0.394810000000000,2
2/27/2018,39.63747,0.266990000000000,2
2/26/2018,39.37048,0.292149999999999,2
2/25/2018,39.07833,-0.941080000000000,-2
2/24/2018,40.01941,0,0
2/23/2018,40.01941,-0.555329999999998,-2
2/22/2018,40.57474,0.0283200000000008,1
2/21/2018,40.54642,-0.442480000000003,-2
2/20/2018,40.9889,-0.152509999999999,-1
2/19/2018,41.14141,-0.246490000000001,-2
2/18/2018,41.3879,0,0
2/17/2018,41.3879,0,0
2/16/2018,41.3879,-0.0711799999999982,-1
2/15/2018,41.45908,0.0312199999999976,1
2/14/2018,41.42786,0.446230000000000,2
2/13/2018,40.98163,0.0619599999999991,1
2/12/2018,40.91967,0.0892400000000038,1
2/11/2018,40.83043,0,0
2/10/2018,40.83043,0,0
2/9/2018,40.83043,0.0188199999999981,1
2/8/2018,40.81161,0.100660000000005,1
2/7/2018,40.71095,0.578609999999998,2
2/6/2018,40.13234,-0.242139999999999,-2
2/5/2018,40.37448,0.166469999999997,1
2/4/2018,40.20801,0,0
2/3/2018,40.20801,0.00880000000000081,1
2/2/2018,40.19921,0.420079999999999,2
2/1/2018,39.77913,0.252710000000000,2
1/31/2018,39.52642,0.530810000000002,2
1/30/2018,38.99561,0.212179999999996,2
1/29/2018,38.78343,-0.0391300000000001,-1
1/28/2018,38.82256,0,0
1/27/2018,38.82256,0,0
1/26/2018,38.82256,-0.219159999999995,-2
1/25/2018,39.04172,-0.145220000000002,-1
1/24/2018,39.18694,0.833150000000003,2
1/23/2018,38.35379,-0.307830000000003,-2
1/22/2018,38.66162,-0.450020000000002,-2
1/21/2018,39.11164,-0.359200000000001,-2
1/20/2018,39.47084,0,0
1/19/2018,39.47084,-0.283690000000000,-2
1/18/2018,39.75453,-0.451549999999997,-2
1/17/2018,40.20608,0.424619999999997,2
1/16/2018,39.78146,0.489010000000000,2
1/15/2018,39.29245,0.191480000000006,1
1/14/2018,39.10097,0,0
1/13/2018,39.10097,0,0
1/12/2018,39.10097,-0.00250000000000483,-1
1/11/2018,39.10347,-0.117159999999998,-1
1/10/2018,39.22063,0.486139999999999,2
1/9/2018,38.73449,0.0413700000000006,1
1/8/2018,38.69312,-0.132350000000002,-1
1/7/2018,38.82547,0,0
1/6/2018,38.82547,0,0
1/5/2018,38.82547,0.352190000000000,2
1/4/2018,38.47328,0.312310000000004,2
1/3/2018,38.16097,0.0405000000000015,1
1/2/2018,38.12047,0.255069999999996,2
1/1/2018,37.8654,0,0
12/31/2017,37.8654,0.135370000000002,1
12/30/2017,37.73003,0.0179899999999975,1
12/29/2017,37.71204,-0.0195499999999953,-1
12/28/2017,37.73159,0.192760000000000,1
12/27/2017,37.53883,0.155220000000000,1
12/26/2017,37.38361,0.0180099999999968,1
12/25/2017,37.3656,0,0
12/24/2017,37.3656,0.105860000000000,1
12/23/2017,37.25974,0.113630000000001,1
12/22/2017,37.14611,0.100810000000003,1
12/21/2017,37.0453,-0.160750000000000,-1
12/20/2017,37.20605,0.104619999999997,1
12/19/2017,37.10143,-0.111339999999998,-1
12/18/2017,37.21277,0.208900000000000,2
12/17/2017,37.00387,0.600729999999999,2
12/16/2017,36.40314,-0.0554199999999980,-1
12/15/2017,36.45856,-0.616489999999999,-2
12/14/2017,37.07505,0.413599999999995,2
12/13/2017,36.66145,-0.517330000000001,-2
12/12/2017,37.17878,0.107830000000000,1
12/11/2017,37.07095,-0.0494699999999995,-1
12/10/2017,37.12042,-0.148069999999997,-1
12/9/2017,37.26849,-0.0162699999999987,-1
12/8/2017,37.28476,0.0140499999999975,1
12/7/2017,37.27071,-0.577140000000000,-2
12/6/2017,37.84785,-0.0592699999999979,-1
12/5/2017,37.90712,0.0461899999999957,1
12/4/2017,37.86093,-0.0353099999999955,-1
12/3/2017,37.89624,-0.0100899999999982,-1
12/2/2017,37.90633,-0.103340000000003,-1
12/1/2017,38.00967,-0.153550000000003,-1
11/30/2017,38.16322,-0.262529999999998,-2
11/29/2017,38.42575,0.180370000000003,1
11/28/2017,38.24538,-0.138320000000000,-1
11/27/2017,38.3837,-0.00852000000000430,-1
11/26/2017,38.39222,-0.0489699999999971,-1
11/25/2017,38.44119,0.0159999999999982,1
11/24/2017,38.42519,0,0
11/23/2017,38.42519,0.0145699999999991,1
11/22/2017,38.41062,0.242210000000000,2
11/21/2017,38.16841,0.0530200000000036,1
11/20/2017,38.11539,-0.0339099999999988,-1
11/19/2017,38.1493,-0.0421800000000019,-1
11/18/2017,38.19148,0.111899999999999,1
11/17/2017,38.07958,-0.0462399999999974,-1
11/16/2017,38.12582,0.0432699999999997,1
11/15/2017,38.08255,0.0289700000000011,1
11/14/2017,38.05358,-0.0191500000000033,-1
11/13/2017,38.07273,0.0877600000000030,1
11/12/2017,37.98497,0.0721299999999943,1
11/11/2017,37.91284,0.0539100000000019,1
11/10/2017,37.85893,0.199770000000001,1
11/9/2017,37.65916,0.0772699999999986,1
11/8/2017,37.58189,0.0311999999999983,1
11/7/2017,37.55069,-0.146979999999999,-1
11/6/2017,37.69767,-0.0908400000000000,-1
11/5/2017,37.78851,-0.0916099999999958,-1
11/4/2017,37.88012,0.0469200000000001,1
11/3/2017,37.8332,-0.142389999999999,-1
11/2/2017,37.97559,0.218359999999997,2
11/1/2017,37.75723,0.514679999999999,2
10/31/2017,37.24255,-0.0218699999999998,-1
10/30/2017,37.26442,-0.00413999999999959,-1
10/29/2017,37.26856,-0.0246700000000004,-1
10/28/2017,37.29323,-0.0107599999999977,-1
10/27/2017,37.30399,-0.165120000000002,-1
10/26/2017,37.46911,0.393430000000002,2
10/25/2017,37.07568,-0.0804200000000037,-1
10/24/2017,37.1561,-0.333259999999996,-2
10/23/2017,37.48936,-0.363190000000003,-2
10/22/2017,37.85255,-0.00840999999999781,-1
10/21/2017,37.86096,0.0174999999999983,1
10/20/2017,37.84346,-0.123179999999998,-1
10/19/2017,37.96664,-0.106670000000001,-1
10/18/2017,38.07331,0.0867700000000014,1
10/17/2017,37.98654,-0.161310000000000,-1
10/16/2017,38.14785,0.487389999999998,2
10/15/2017,37.66046,0.0315999999999974,1
10/14/2017,37.62886,-0.0669399999999953,-1
10/13/2017,37.6958,-0.158280000000005,-1
10/12/2017,37.85408,0.102180000000004,1
10/11/2017,37.7519,0.293970000000002,2
10/10/2017,37.45793,-0.563950000000006,-2
10/9/2017,38.02188,-0.0786299999999969,-1
10/8/2017,38.10051,-0.0324099999999987,-1
10/7/2017,38.13292,0.0328200000000010,1
10/6/2017,38.1001,-0.712270000000004,-2
10/5/2017,38.81237,-0.110219999999998,-1
10/4/2017,38.92259,0.305579999999999,2
